case,odds_ratio,ci_low,ci_high,log_odds,ci_log_low,ci_log_high,disaster_type,pvalue,sHDI_category,deviation_category,npoints,impact,significance,alpha_sig
Low sHDI - worse-off : Very high sHDI,2.940750042817476,1.4054571136023932,5.980658596138879,1.0786646654184666,0.3403625976313139,1.7885306950319237,Storm,0.003086253109490903,Low sHDI,worse-off,539,Likelihood affected, ** ,1
Medium sHDI - better-off : Very high sHDI,1.8267144932846402,0.8978060856319711,3.6465006946583363,0.602518994404155,-0.10780117427459739,1.2937679939421562,Storm,0.090009884709252,Medium sHDI,better-off,556,Likelihood affected,.,0.2
Medium sHDI - nat-average : Very high sHDI,2.3230268969170647,1.3634939504436998,4.162233574311584,0.8428710322477437,0.3100504865086984,1.4260518470866885,Storm,0.0028508741371049634,Medium sHDI,nat-average,735,Likelihood affected, ** ,1
Medium sHDI - worse-off : Very high sHDI,2.649293342322107,1.3660913594356516,5.275565305709741,0.9742929411624811,0.31195363990458874,1.6630858405793545,Storm,0.005097985967318007,Medium sHDI,worse-off,557,Likelihood affected, ** ,1
High sHDI - better-off : Very high sHDI,0.05089750366776504,0.007869082988239184,3.6248047961241565,-2.977941400483653,-4.8448137432605805,1.2878004375116499,Cold wave,0.12211520806021936,High sHDI,better-off,31,Likelihood affected,.,0.2
High sHDI - nat-average : Very high sHDI,0.9035098498684799,0.10962783685769756,68.89127862105619,-0.10146826710725385,-2.21066395078929,4.2325295897617385,Cold wave,0.9588551176253924,High sHDI,nat-average,47,Likelihood affected,.,0.2
High sHDI - worse-off : Very high sHDI,1.8575568048340871,0.04994124210453758,178.96763476369668,0.6192620784795058,-2.9969081225027354,5.187204978116411,Cold wave,0.7898019393101623,High sHDI,worse-off,18,Likelihood affected,.,0.2
Low sHDI - better-off : Very high sHDI,0.16755502966693864,0.04859807302474465,10.078482353457495,-1.7864434463479217,-3.024171398558371,2.3104026911350344,Cold wave,0.3343977101386852,Low sHDI,better-off,15,Likelihood affected,.,0.2
Low sHDI - nat-average : Very high sHDI,0.1607316232474856,0.010042699015098818,12.50744753568767,-1.8280192412329863,-4.600909374640782,2.526324269743216,Cold wave,0.3739219793786649,Low sHDI,nat-average,26,Likelihood affected,.,0.2
Low sHDI - worse-off : Very high sHDI,0.018590687550260526,0.005392088754027085,1.1182351063192972,-3.985094492980558,-5.222822445191005,0.1117516445023956,Cold wave,0.03129343534836405,Low sHDI,worse-off,15,Likelihood affected,* ,1
Medium sHDI - better-off : Very high sHDI,2.0245009374955402e-5,5.900866350089083e-6,0.0012293370646438238,-10.807602245405157,-12.040411378834241,-6.701280226729629,Cold wave,4.1110860835597155e-9,Medium sHDI,better-off,15,Likelihood affected, *** ,1
